Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,20,0,34000,39054.99932515003,3.115167000942165,77131.26029200066,1843.65,0.16894669805638515,0.0,51000,65000,72000,73000,77000,77000,77000,77000,77000,77000,77000
GET,/health,51,0,4,5.11052439216263,2.0401660003699362,13.584374999481952,15.0,0.43081408004378213,0.0,4,5,6,7,9,11,11,14,14,14,14
,Aggregated,71,0,5,11005.079200661989,2.0401660003699362,77131.26029200066,530.112676056338,0.5997607781001673,0.0,5,8,10,14,61000,73000,77000,77000,77000,77000,77000
