Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,182,19,5,10.166114285681573,1.338374999249936,1002.1769590002805,1462.3956043956043,1.5699510022805796,0.163895983754566,5,5,5,6,6,7,8,25,1000,1000,1000
GET,/health,361,38,4,6.8530616343830895,1.0732920000009472,1002.3376250010188,13.421052631578947,3.114023691336754,0.327791967509132,4,5,5,5,6,6,7,8,1000,1000,1000
,Aggregated,543,57,4,7.963513904247407,1.0732920000009472,1002.3376250010188,499.08103130755063,4.683974693617333,0.491687951263698,4,5,5,5,6,6,7,10,1000,1000,1000
