Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,21,6,5,20266.63511709514,2.4761669992585666,102999.9294169993,1357.4761904761904,0.1775891716950515,0.050739763341443284,5,8,29000,50000,75000,87000,103000,103000,103000,103000,103000
GET,/health,70,14,4,3.972498785645127,1.78941699959978,8.479582998916158,12.0,0.5919639056501717,0.11839278113003433,4,4,4,5,6,6,8,8,8,8,8
,Aggregated,91,20,4,4679.971564549374,1.78941699959978,102999.9294169993,322.4945054945055,0.7695530773452232,0.1691325444714776,4,4,5,5,8,50000,87000,103000,103000,103000,103000
